Champion's league
Seria A
Genoa
FC Sochaux
"Rase toi la boule"
Peigne cul
Beau gosse
Gueule de bois
Puissant
Fragile / fragilité
Collège
Société
Social démocrate
Capitaliste
Communiste
Brésil
"Je suis pas d'accord"
"Je suis d'accord avec toi"
"Je suis d'accord avec toi, mais"
Communauté LGBT
Famé
Zoé
Comté
Sacuisse de Morteau
Mont d'Or
Benoit-Guyod
Chauve / calvitie
Curitiba
"Je vais fumer une clope"
"Je vais me resservir un verre"
Bøbine
Lads In Vertigo
Oasis 
Rolling Stones
Beatles 
Grand Duc 
Frère
"Ça va les frères ?"
Magnifique
Grandiose
Égalité 
"Ça va envoyer"
"Qu'est-ce qui dit le ... ?"
Bonne femme
Jura
Lyon
Mysogine 
La bise
"Je vais pas m'excuser ..." 
Crime
